E(eV),T(E)
2.230576441102755325e+00,2.818922810635607346e-01
2.280701754385964009e+00,3.087707781974395882e-01
2.330827067669172692e+00,3.397124288081000421e-01
2.380952380952379599e+00,3.752468808280517432e-01
2.431077694235588282e+00,4.158997764307605927e-01
2.481203007518796966e+00,4.621302533838657634e-01
2.531328320802003873e+00,5.142290787606849101e-01
2.581453634085212556e+00,5.721660193535524908e-01
2.631578947368421240e+00,6.353823448330364609e-01
2.681704260651628147e+00,7.025446091777213242e-01
2.731829573934836830e+00,7.713142501733577516e-01
2.781954887218043737e+00,8.382397728559592975e-01
2.832080200501252421e+00,8.989172305056141177e-01
2.882205513784461104e+00,9.485362595109113615e-01
2.932330827067668011e+00,9.827846240701356706e-01
2.982456140350876694e+00,9.988566586207781040e-01
3.032581453634083601e+00,9.961552055462081778e-01
3.082706766917292285e+00,9.763632552075396376e-01
3.132832080200500968e+00,9.428756468081017639e-01
3.182957393483707875e+00,8.998904901771839215e-01
3.233082706766916559e+00,8.515452199595850979e-01
3.283208020050125242e+00,8.013437254226926099e-01
3.333333333333332149e+00,7.519192900942173186e-01
3.383458646616540832e+00,7.050476023910988710e-01
3.433583959899749516e+00,6.617914702037230867e-01
3.483709273182956423e+00,6.226845410556738347e-01
3.533834586466165106e+00,5.879014301502382134e-01
3.583959899749372013e+00,5.573933690793041462e-01
3.634085213032580697e+00,5.309868840532598888e-01
3.684210526315789380e+00,5.084511003612978142e-01
3.734335839598996287e+00,4.895413980161029688e-01
3.784461152882204971e+00,4.740265418530445474e-01
3.834586466165411878e+00,4.617049149894454918e-01
3.884711779448620561e+00,4.524139528777121888e-01
3.934837092731829244e+00,4.460356147640235913e-01
3.984962406015036152e+00,4.424997918711597866e-01
4.035087719298244835e+00,4.417868885769338783e-01
4.085213032581453518e+00,4.439303475124492526e-01
4.135338345864660425e+00,4.490195428801445066e-01
4.185463659147869109e+00,4.572031602806403416e-01
4.235588972431077792e+00,4.686928298300080953e-01
4.285714285714284699e+00,4.837662711674359239e-01
4.335839598997493383e+00,5.027683827472415601e-01
4.385964912280700290e+00,5.261073190575402680e-01
4.436090225563908973e+00,5.542402864015207875e-01
4.486215538847117656e+00,5.876400670239454449e-01
4.536340852130324564e+00,6.267276655548212894e-01
4.586466165413533247e+00,6.717489513121932543e-01
4.636591478696740154e+00,7.225655650779667649e-01
4.686716791979948837e+00,7.783293343150394783e-01
4.736842105263157521e+00,8.370314688461113484e-01
4.786967418546364428e+00,8.949924448496906493e-01
4.837092731829573111e+00,9.465146403751142357e-01
4.887218045112781795e+00,9.841251754186907119e-01
4.937343358395988702e+00,9.998917800949977952e-01
4.987468671679197385e+00,9.878492920125808707e-01
5.037593984962406068e+00,9.465740643744008365e-01
5.087719298245612976e+00,8.802369849760156573e-01
5.137844611528821659e+00,7.972089584301006449e-01
5.187969924812028566e+00,7.070985742543600683e-01
5.238095238095237249e+00,6.180628067735136622e-01
5.288220551378445933e+00,5.355296583048937409e-01
5.338345864661652840e+00,4.622459115780557237e-01
5.388471177944861523e+00,3.989800497187713790e-01
5.438596491228068430e+00,3.453092101021744686e-01
5.488721804511277114e+00,3.002259379094075475e-01
5.538847117794485797e+00,2.625201674876814217e-01
5.588972431077692704e+00,2.309822964334633244e-01
5.639097744360901387e+00,2.044864665316490082e-01
5.689223057644110071e+00,1.819963933953861468e-01
5.739348370927316978e+00,1.625103486241584461e-01
5.789473684210525661e+00,1.449261028164288700e-01
5.839598997493734345e+00,1.277318006331998879e-01
5.889724310776941252e+00,1.081972891750397348e-01
5.939849624060149935e+00,7.978699650636857099e-02
5.989974937343356842e+00,2.102796583688890802e-02
6.040100250626565526e+00,5.549077438148500466e-12
6.090225563909772433e+00,1.714452073272730373e-12
6.140350877192982892e+00,8.573124917972821747e-13
6.190476190476189799e+00,5.150464107057690770e-13
6.240601503759396707e+00,3.413896222490486155e-13
6.290726817042607166e+00,2.406932354897194345e-13
6.340852130325814073e+00,1.770861687674347756e-13
6.390977443609020980e+00,1.344377324439878660e-13
6.441102756892227887e+00,1.045551660933302702e-13
6.491228070175438347e+00,8.289597272281592874e-14
6.541353383458645254e+00,6.676892704784811189e-14
6.591478696741852161e+00,5.449467035958924486e-14
6.641604010025062621e+00,4.498060804704333414e-14
6.691729323308269528e+00,3.749110777977560923e-14
6.741854636591476435e+00,3.151647844163707964e-14
6.791979949874686895e+00,2.669488449027158942e-14
6.842105263157893802e+00,2.276403307836243075e-14
6.892230576441100709e+00,1.953030828336529753e-14
6.942355889724311169e+00,1.684849692977460637e-14
6.992481203007518076e+00,1.460814458415670367e-14
7.042606516290724983e+00,1.272417513879462616e-14
7.092731829573935443e+00,1.113031813520693175e-14
7.142857142857142350e+00,9.774424666847964974e-15
7.192982456140349257e+00,8.615077929655304009e-15
7.243107769423559716e+00,7.619106567343466621e-15
7.293233082706766623e+00,6.759737376329173973e-15
7.343358395989973531e+00,6.015207222231812028e-15
7.393483709273180438e+00,5.367709046074697537e-15
7.443609022556390897e+00,4.802583812649266423e-15
7.493734335839597804e+00,4.307695485821628008e-15
7.543859649122804711e+00,3.872943581760677906e-15
7.593984962406015171e+00,3.489880101358424595e-15
7.644110275689222078e+00,3.151406340226273247e-15
7.694235588972428985e+00,2.851531319257320758e-15
7.744360902255639445e+00,2.585178109764091815e-15
7.794486215538846352e+00,2.348027647218881571e-15
7.844611528822053259e+00,2.136392082693555711e-15
7.894736842105263719e+00,1.947111552205232180e-15
7.944862155388470626e+00,1.777469620955448348e-15
7.994987468671677533e+00,1.625123702512215700e-15
8.045112781954884440e+00,1.488047548884621913e-15
8.095238095238094900e+00,1.364483518858712127e-15
8.145363408521301807e+00,1.252902804670919568e-15
8.195488721804508714e+00,1.151972164778256786e-15
